question,answer
"ကော့ကရိတ်နဲ့ မြဝတီကြားက လမ်းပိုင်းက ဘယ်သူတွေ ထိန်းချုပ်ထားတာလဲ။","စစ်ကောင်စီတပ်တွေနဲ့ ကရင်လက်နက်ကိုင်အဖွဲ့တွေကြား နယ်မြေစိုးမိုးမှုအတွက် တိုက်ပွဲတွေ ဆက်လက်ပြင်းထန်နေဆဲ ဖြစ်ပါတယ်။"
"စက်သုံးဆီဆိုင်တွေမှာ ဘာကြောင့် ကားတန်းကြီးတွေ ရှည်နေရတာလဲ။","အနာဂတ်မှာ ဆီပြတ်လပ်မှု ပိုဆိုးလာမှာကို စိုးရိမ်ပြီး လူတွေက ရသလောက် ဝယ်ယူစုဆောင်းနေကြလို့ ဖြစ်ပါတယ်။"
"ဒီလို ဆီတန်းစီတာတွေကြောင့် လမ်းမပေါ်မှာ ဘာတွေဖြစ်ကုန်သလဲ။","ဆီဆိုင်ရှေ့မှာ တန်းစီနေတဲ့ ကားတန်းတွေကြောင့် လမ်းမတွေပိတ်ပြီး ယာဉ်ကြောပိတ်ဆို့မှုတွေ အကြီးအကျယ် ဖြစ်နေပါတယ်။"
"မှောင်ခိုဈေးကွက် (Black Market) အခြေအနေက ဘယ်လိုရှိလဲ။","ဆီမှောင်ခိုဈေးကွက်ဟာ နေ့ခင်းကြောင်တောင်မှာတင် ဗြောင်ကျကျနဲ့ အင်တိုက်အားတိုက် ဖြစ်ထွန်းနေပါတယ်။"
"တက္ကစီသမားအချို့က ဘာကြောင့် ဆီပြန်ရောင်းနေကြတာလဲ။","တက္ကစီမောင်းတာထက် ဆီဆိုင်ကရတဲ့ဆီကို မှောင်ခိုဈေးနဲ့ ပြန်ရောင်းတာက ဝင်ငွေပိုကောင်းနေလို့ ဖြစ်ပါတယ်။"
"တက္ကစီတွေအတွက် ထုတ်ပြန်ထားတဲ့ ကန့်သတ်ချက်အသစ်က ဘာလဲ။","ဆီဝယ်တဲ့အခါ ကီလိုမီတာ အကွာအဝေးမှတ်တမ်းကိုပြပြီး တကယ်မောင်းထားကြောင်း သက်သေပြရမယ်ဆိုတဲ့ စည်းကမ်းချက် ထွက်လာပါတယ်။"
"ဒီ ကီလိုမီတာပြရမယ်ဆိုတဲ့ စည်းကမ်းက လက်တွေ့ကျပါသလား။","ဒါဟာ လုံးဝကို ရယ်စရာကောင်းပြီး လက်တွေ့မှာ လုပ်ဆောင်ဖို့ မဖြစ်နိုင်တဲ့ ကိစ္စတစ်ခုပါ။"
"လျှပ်စစ်ကား (EV) ပိုင်ရှင်တွေရော ဘာအခက်အခဲ ကြုံနေရသလဲ။","EV ကားတွေလည်း ဆီကားတွေနည်းတူ အားသွင်းဖို့အတွက် အားသွင်းဂိတ်တွေမှာ တန်းစီနေကြရပါတယ်။"
"EV ပိုင်ရှင်တွေ အိမ်မှာ အားသွင်းလို့ မရဘူးလား။","အိမ်မှာ အားသွင်းဖို့ အဆောက်အအုံ ဒါမှမဟုတ် စက်ပစ္စည်း မပြည့်စုံတဲ့သူက အများစုဖြစ်လို့ အားသွင်းဂိတ်တွေကိုပဲ အားကိုးနေရပါတယ်။"
"လျှပ်စစ်မီး မမှန်တာက အားသွင်းဂိတ်တွေအပေါ် ဘယ်လို သက်ရောက်မှုရှိလဲ။","မီးခဏခဏ ပျက်တဲ့အတွက် အားသွင်းဂိတ်အချို့ဟာ ဆိုလာစနစ် (Solar) ကို ပြောင်းလဲအသုံးပြုနေရပါတယ်။"
"မြန်မာပြည်သူတွေရဲ့ လက်ရှိဘဝကို ဘယ်လို တင်စားနိုင်မလဲ။","ဘာမဆို တန်းစီရတဲ့ အလေ့အကျင့်ဟာ မြန်မာပြည်သူတွေအတွက် အကြီးအကျယ် လေ့ကျင့်ခန်းဆင်းနေရသလို ဖြစ်နေပါတယ်။"
"ဆီဆိုင်တွေမှာ တန်းစီရတာက အချိန်ဘယ်လောက် ကြာတတ်သလဲ။","ဆီရဖို့အတွက် နာရီပေါင်းများစွာ ဒါမှမဟုတ် တစ်နေ့လုံးနီးပါး တန်းစီစောင့်ဆိုင်းရတာမျိုးတွေ ရှိပါတယ်။"
"ဆီပြတ်လပ်မှုက ကုန်ဈေးနှုန်းအပေါ် သက်ရောက်မှု ရှိပါသလား။","သယ်ယူပို့ဆောင်ရေးစရိတ်တွေ တက်လာတဲ့အတွက် အခြေခံစားသောက်ကုန်ဈေးနှုန်းတွေလည်း လိုက်တက်လာပါတယ်။"
"EV တက္ကစီတွေအတွက်ရော အခြေအနေက ဘယ်လိုလဲ။","EV တက္ကစီတွေဟာလည်း အားသွင်းဖို့ ခက်ခဲနေတဲ့အတွက် ခရီးသည်တင်ဆောင်ဖို့ထက် တန်းစီဖို့ အချိန်ပိုကုန်နေကြရပါတယ်။"
"ဆိုလာနဲ့ အားသွင်းရတာက မြန်ဆန်မှုရှိရဲ့လား။","လျှပ်စစ်မီးလောက် အားမပြည့်တဲ့အတွက် အားသွင်းချိန် ပိုကြာမြင့်ပြီး ကားတန်းတွေ ပိုရှည်လာစေပါတယ်။"
"အစိုးရရဲ့ ကန့်သတ်ချက်တွေက ပြဿနာကို ပြေလည်စေသလား။","ကန့်သတ်ချက်တွေက ပြည်သူတွေကို ပိုပြီး စိုးရိမ်ပူပန်စေကာ အခြေအနေကို ပိုဆိုးအောင်သာ လုပ်နေသလို ဖြစ်နေပါတယ်။"
"လူတွေက ဘာကြောင့် ဒီလောက်အထိ အတင်းအကျပ် ဝယ်ယူနေကြတာလဲ။","နောင်မှာ ဆီလုံးဝ ဝယ်မရတော့မှာကို ကြောက်တဲ့ ""Panic Buying"" စိတ်က လူတိုင်းမှာ ဖြစ်နေလို့ပါ။"
"ဆီမှောင်ခိုဈေးက ပြင်ပပေါက်ဈေးထက် ဘယ်လောက် ပိုများနေသလဲ။","ဆီဆိုင်ဈေးထက် နှစ်ဆ၊ သုံးဆမက ပိုများနေပေမဲ့ အရေးပေါ်လိုတဲ့သူတွေကတော့ ဝယ်နေကြရပါတယ်။"
"ယာဉ်မောင်းတွေကြားမှာ ဒီအခြေအနေအပေါ် ဘယ်လိုမြင်ကြသလဲ။","အားလုံးက စိတ်ပျက်အားလျော့နေကြပြီး နေ့စဉ်ရှင်သန်ဖို့အတွက် တန်းစီရင်းနဲ့ပဲ အချိန်ကုန်နေကြရပါတယ်။"
"EV ကားတွေရဲ့ အနာဂတ်ကရော စိတ်ချရပါဦးမလား။","လျှပ်စစ်မီး အခက်အခဲကြောင့် EV ကားတွေဟာလည်း ထင်သလောက် အဆင်မပြေဖြစ်နေပါတယ်။"
"ဒီပြဿနာတွေ ဘယ်တော့လောက် ပြေလည်သွားမလဲ။","လက်ရှိမှာတော့ ဘယ်သူမှ တိတိကျကျ မပြောနိုင်သေးဘဲ အခြေအနေက ပိုပြီး ဆိုးဝါးလာဖို့ပဲ ရှိနေပါတယ်။"
"၂၀၂၆ ဧပြီလ ရန်ကုန်ခရီးစဉ်အပေါ် ခရီးသွားရဲ့ ယေဘုယျအမြင်က ဘယ်လိုရှိသလဲ။","ခရီးသွားက ရန်ကုန်ရဲ့ အခြေအနေကို သဘောကျခဲ့ပြီး အချိန်ကောင်းလေးတွေ ပိုင်ဆိုင်ခဲ့ပါတယ်။"
"မြန်မာနိုင်ငံကို ဘယ်လေကြောင်းလိုင်းနဲ့ လာရောက်ခဲ့တာလဲ။","ဘန်ကောက်မြို့ကနေ ထိုင်းလေကြောင်းလိုင်း (Thai Airways) နဲ့ ပျံသန်းလာခဲ့တာ ဖြစ်ပါတယ်။"
"ရန်ကုန်မှာ ဘယ်ဟိုတယ်မှာ တည်းခိုခဲ့သလဲ။","ParkRoyal ဟိုတယ်မှာ တည်းခိုခဲ့ပြီး အဆောက်အအုံက အနည်းငယ် ဟောင်းနေပေမဲ့ နေလို့ကောင်းတယ်လို့ ဆိုပါတယ်။"
"တည်းခိုခဲ့တဲ့ ဟိုတယ်မှာ စားသောက်ဆိုင် ဘယ်နှဆိုင် ရှိသလဲ။","အဲ့ဒီဟိုတယ်မှာ ရွေးချယ်စရာ စားသောက်ဆိုင် လေးဆိုင်အထိ ရှိပါတယ်။"
"မြို့တွင်းလည်ပတ်မှုမှာ ဘယ်နေရာက အကောင်းဆုံး ဖြစ်ခဲ့သလဲ။","ရွှေတိဂုံစေတီတော်မြတ်ကြီးရဲ့ တင့်တယ်ကြည်ညိုဖွယ် အသွင်သဏ္ဌာန်က အကောင်းဆုံး အမှတ်တရ ဖြစ်ခဲ့ပါတယ်။"
"ပြည်ဝင်ဗီဇာ လျှောက်ထားရတာ ခက်ခဲမှု ရှိခဲ့ပါသလား။","အွန်လိုင်းကနေ ဗီဇာလျှောက်ထားရာမှာ ဘာအခက်အခဲမှမရှိဘဲ အဆင်ပြေပြေ ရရှိခဲ့ပါတယ်။"
"ခရီးစဉ်အတွင်း ငွေကြေးဆိုင်ရာ ဘာအခက်အခဲ ကြုံခဲ့ရသလဲ။","အချို့နေရာတွေမှာ ခရက်ဒစ်ကတ် (Credit Card) သုံးလို့မရတဲ့ ပြဿနာတစ်ခုပဲ ကြုံခဲ့ရပါတယ်။"
"ကတ်သုံးလို့မရတဲ့အခါ ငွေပေးချေမှုကို ဘယ်လို ဖြေရှင်းခဲ့သလဲ။","မိမိမှာ အမေရိကန်ဒေါ်လာ လက်ငင်းငွေသား အလုံအလောက်ပါလာတဲ့အတွက် အဆင်ပြေသွားခဲ့ပါတယ်။"
"မြန်မာပြည်သူတွေအပေါ် ခရီးသွားရဲ့ အမြင်က ဘယ်လိုရှိသလဲ။","မြန်မာလူမျိုးတွေဟာ အရမ်းကို ဖော်ရွေပျူငှာပြီး ချစ်ဖို့ကောင်းတယ်လို့ မှတ်ချက်ပေးထားပါတယ်။"
"နောင်မှာ မြန်မာနိုင်ငံကို ထပ်လာဖို့ အစီအစဉ် ရှိပါသလား။","ဟုတ်ကဲ့၊ မကြာခင်မှာ ပြန်လာပြီး တခြားဒေသတွေကိုပါ ပိုမိုလည်ပတ်ချင်တယ်လို့ ဆိုပါတယ်။"
"ဒီခရီးစဉ်က ဘယ်လောက်အထိ ကြာမြင့်ခဲ့တာလဲ။","ဧပြီလအတွင်းမှာ ရက်အနည်းငယ်ကြာ (၂ ရက်၊ ၃ ရက်ခန့်) လည်ပတ်ခဲ့တာ ဖြစ်ပါတယ်။"
"ParkRoyal ဟိုတယ်က တည်းခိုဖို့ သင့်တော်ရဲ့လား။","အပြင်အဆင်က ခေတ်မမီတော့ဘူးလို့ ထင်ရပေမဲ့ သက်တောင့်သက်သာရှိတဲ့ တည်းခိုမှုမျိုး ပေးစွမ်းနိုင်ပါတယ်။"
"အခုအချိန်မှာ အွန်လိုင်းဗီဇာစနစ်က တကယ်ပဲ အလုပ်လုပ်နေတာလား။","ဒီခရီးသွားရဲ့ အတွေ့အကြုံအရတော့ E-visa စနစ်က ပုံမှန်အတိုင်း အဆင်ပြေနေတာကို တွေ့ရပါတယ်။"
"ရန်ကုန်ကိုသွားရင် ငွေသားယူသွားဖို့ လိုအပ်ပါသလား။","ကတ်တွေက နေရာတိုင်းမှာ အလုပ်မလုပ်နိုင်တဲ့အတွက် ဒေါ်လာငွေသား ဆောင်သွားဖို့ အထူးလိုအပ်ပါတယ်။"
"တခြားသူတွေကိုရော ရန်ကုန်မြို့ထဲ လည်ပတ်ဖို့ တိုက်တွန်းချင်ပါသလား။","ရွှေတိဂုံဘုရားလို နေရာမျိုးတွေ ရှိတဲ့အတွက် ရန်ကုန်မြို့တွင်း လည်ပတ်မှုက တန်ဖိုးရှိတဲ့ အတွေ့အကြုံတစ်ခု ဖြစ်မှာပါ။"
"ခရီးသွားက ဘယ်အချိန်မှာ မြန်မာနိုင်ငံကို လာဖို့ စီစဉ်ထားတာလဲ။","၂၀၂၆ ခုနှစ်၊ ဒီဇင်ဘာလအစောပိုင်းမှာ ဘန်ကောက်ကနေတစ်ဆင့် လာဖို့ စီစဉ်ထားတာပါ။"
"သူက ဘယ်လို ခရီးစဉ်မျိုးကို လိုချင်နေတာလဲ။","ကိုယ်တိုင်သွားတာမျိုးမဟုတ်ဘဲ ၇ ရက်စာ Package Tour ခရီးစဉ်မျိုးကို ရှာဖွေနေတာ ဖြစ်ပါတယ်။"
"အွန်လိုင်းက ခရီးသွားအေဂျင်စီတွေနဲ့ ဆက်သွယ်ရာမှာ ဘာအခက်အခဲ ကြုံနေရသလဲ။","အေဂျင်စီအတော်များများက သူတို့ရဲ့ စုံစမ်းမေးမြန်းမှုတွေကို ပြန်လည်ဖြေကြားခြင်း မရှိတာပါ။"
"ပြန်စာပို့တဲ့ အေဂျင်စီတစ်ခုက ဘယ်လို ခရီးစဉ်မျိုးကို ကမ်းလှမ်းခဲ့သလဲ။","မြို့တစ်ခုနဲ့တစ်ခု ကားနဲ့ ၃၂ နာရီကြာ သွားရမယ့် တစ်ကိုယ်တော်ခရီးစဉ်ကို ကမ်းလှမ်းခဲ့ပါတယ်။"
"သူက တစ်ယောက်တည်း သွားချင်တာလား၊ အဖွဲ့နဲ့ သွားချင်တာလား။","လူနည်းစုပါဝင်တဲ့ အဖွဲ့လိုက်ခရီးစဉ် (Small Group Tour) မှာ ပါဝင်ဖို့ကိုပဲ ပိုပြီး လိုလားပါတယ်။"
"လက်ရှိ ဒေသတွင်း ဆီပြတ်လပ်မှုကို ဖြစ်စေတဲ့ အကြောင်းရင်းက ဘာလို့ သူက ယူဆထားသလဲ။","အီရန်အပေါ် အမေရိကန်နဲ့ အစ္စရေးတို့ရဲ့ တိုက်ခိုက်မှုတွေကြောင့်လို့ သူက နားလည်ထားပါတယ်။"
"ဒီကမ္ဘာ့အခြေအနေက မြန်မာနိုင်ငံအပေါ် ဘယ်လို သက်ရောက်နေသလဲ။","မြန်မာနိုင်ငံနဲ့ အရှေ့တောင်အာရှနိုင်ငံအချို့မှာ စက်သုံးဆီ အကြီးအကျယ် ပြတ်လပ်မှုကို ဖြစ်ပေါ်စေပါတယ်။"
"သူက ဘာကြောင့် ကိုယ်တိုင်ခရီးသွားဖို့ (Independent Travel) ဝန်လေးနေတာလဲ။","မြန်မာပြည်က စိတ်ဝင်စားဖို့ကောင်းပေမဲ့ စီစဉ်ဆောင်ရွက်ရမယ့် ကိစ္စတွေကို ကိုယ်တိုင်မလုပ်နိုင်မှာ စိုးရိမ်လို့ပါ။"
"သူ့ရဲ့ မူရင်းစာသားမှာ အဓိက ဘာကို အကူအညီတောင်းထားတာလဲ။","အခြေအနေတွေ ပုံမှန်ဖြစ်နေချိန်မှာ ခရီးစဉ်ကောင်းကောင်း စီစဉ်ပေးနိုင်တဲ့ နာမည်ပျက်မရှိ အေဂျင်စီတွေကို သိချင်တာပါ။"
"မြို့အချင်းချင်း ကားနဲ့သွားရမယ့် ခရီးစဉ်ကို သူက သဘောကျပါသလား။","မကြိုက်ပါဘူး၊ တစ်ကိုယ်တော်ခရီးစဉ်မှာ ကားပေါ် ၃၂ နာရီကြာ အချိန်ကုန်ရမှာကို သူက မလိုလားပါဘူး။"
"အခုအချိန်မှာ မြန်မာပြည်တွင်း လေကြောင်းလိုင်းတွေက ပုံမှန်ပျံသန်းနေသလား။","၂၀၂၆ အစောပိုင်းမှာ လေယာဉ်ဆီပြတ်လပ်မှုကြောင့် ပြည်တွင်းလေကြောင်းခရီးစဉ်အများစု အနှောင့်အယှက်ဖြစ်နေပါတယ်။"
"အဖွဲ့လိုက် ခရီးစဉ်တွေက အဓိက ဘယ်နေရာတွေကို ပို့ပေးလေ့ရှိသလဲ။","များသောအားဖြင့် ရန်ကုန်၊ ပုဂံ၊ မန္တလေးနဲ့ အင်းလေးကန် စတဲ့ တည်ငြိမ်တဲ့နေရာတွေကိုပဲ ပို့ပေးပါတယ်။"
"အေဂျင်စီတစ်ခုက အခုထိ လုပ်ငန်းလည်ပတ်နေတုန်းပဲဆိုတာ ဘယ်လိုသိနိုင်မလဲ။","သူတို့ရဲ့ ဝဘ်ဆိုက်မှာ ""2026 Departure Dates"" ဆိုပြီး ခရီးစဉ်ထွက်မယ့်ရက်စွဲတွေ တင်ထား၊ မထား ကြည့်ရပါမယ်။"
"မြန်မာနိုင်ငံအတွက် ဘယ်လို ခရီးသွားအေဂျင်စီတွေကို အကြံပြုထားကြသလဲ။","ယဉ်ကျေးမှုနဲ့ လူမှုကျင့်ဝတ်ကို အလေးထားတဲ့ Responsible Travel လို အဖွဲ့မျိုးတွေကို အကြံပြုလေ့ရှိပါတယ်။"
"လူနည်းစုအဖွဲ့ (Small Group) ဆိုတာ ပုံမှန်အားဖြင့် လူဘယ်နှစ်ယောက်လောက်လဲ။","အေဂျင်စီအပေါ်မူတည်ပြီး အနည်းဆုံး ၂ ယောက်ကနေ အများဆုံး ၁၂ ယောက်အထိ ရှိတတ်ပါတယ်။"
"စက်သုံးဆီပြဿနာက ဘယ်တော့လောက် ပြန်အဆင်ပြေမယ်လို့ ခန့်မှန်းထားကြသလဲ။","ဈေးကွက်ကျွမ်းကျင်သူတွေက ၄ လကနေ ၆ လအတွင်း ပြန်လည်တည်ငြိမ်လာနိုင်တယ်လို့ ခန့်မှန်းကြပါတယ်။"
"အခုလို အခက်အခဲတွေကြားက မြန်မာပြည်ကို သူက သွားချင်နေတုန်းပဲလား။","ဟုတ်ပါတယ်၊ မြန်မာပြည်က အရမ်းစိတ်ဝင်စားဖို့ကောင်းတဲ့နေရာလို့ သူက သတ်မှတ်ထားပါတယ်။"
"အေဂျင်စီတွေက အီးမေးလ်တွေကို ဘာကြောင့် ချက်ချင်း ပြန်မဖြေနိုင်တာ ဖြစ်မလဲ။","ဆီပြတ်လပ်မှုနဲ့ သယ်ယူပို့ဆောင်ရေး အခက်အခဲတွေကြောင့် ခရီးစဉ်အတည်ပြုဖို့ သူတို့ကိုယ်တိုင် ရုန်းကန်နေရလို့ ဖြစ်နိုင်ပါတယ်။"
"အဖွဲ့လိုက်ခရီးစဉ်မှာ လိုက်ပါတာက ဘာတွေ အကျိုးကျေးဇူးရှိသလဲ။","လမ်းပြပါဝင်ပြီး အစစအရာရာ စီစဉ်ပေးတဲ့အတွက် တစ်ယောက်တည်းသွားဖို့ ကြောက်တဲ့သူတွေအတွက် စိတ်ချရပါတယ်။"
"ခရီးသွားက ဥရောပကနေ မြန်မာပြည်ကို တိုက်ရိုက်လာမှာလား။","မဟုတ်ပါဘူး၊ သူက ထိုင်းနိုင်ငံ၊ ဘန်ကောက်ကို အရင်သွားပြီးမှ မြန်မာပြည်ကို လာဖို့ စီစဉ်ထားတာပါ။"
"တောင်ပေါ်သားရိုးရာပစ္စည်းရောင်းတဲ့သူတွေက အရင်ဈေးတွေမှာပဲ ဆက်ရောင်းနေတုန်းလား။","ဈေးအဆောက်အအုံကြီးတွေ ပြင်ဆင်နေရတဲ့အတွက် အချို့က ယာယီဆိုင်ခန်းတွေ ဒါမှမဟုတ် ပြခန်းအသေးလေးတွေမှာပဲ ပြောင်းရောင်းနေကြပါတယ်။"
"ငလျင်ပြီးနောက်ပိုင်း ရန်ကုန်မှာ တောင်ပေါ်သားရိုးရာပစ္စည်းတွေကို ဘယ်နေရာမှာ အကောင်းဆုံး ရှာနိုင်မလဲ။","ဗိုလ်ချုပ်ဈေးရဲ့ ပြန်ဖွင့်ထားတဲ့ အောက်ထပ်ဆိုင်ခန်းတွေနဲ့ ဟိုတယ်တွေမှာရှိတဲ့ ပြခန်းတွေမှာ အကောင်းဆုံး ရှာဖွေနိုင်ပါတယ်။"
"ငလျင်ကြောင့် ပေါ်ထွက်လာတဲ့ ရှေးဟောင်းပစ္စည်းတွေကို ဝယ်လို့ရမလား။","မရပါဘူး၊ ငလျင်ကြောင့် ပေါ်လာတဲ့ ရှေးဟောင်းပစ္စည်းတွေကို ဝယ်ယူတာက ဥပဒေနဲ့ မလွတ်ကင်းနိုင်သလို နိုင်ငံတော်အမွေအနှစ်အဖြစ် သတ်မှတ်ထားလို့ပါ။"
"မြန်မာပြည်အလယ်ပိုင်း တောင်ပေါ်ဒေသတွေကို သွားတဲ့လမ်းတွေက သွားလို့ အဆင်ပြေရဲ့လား။","လမ်းအတော်များများ ပြင်နေရဆဲဖြစ်လို့ မန္တလေးလို မြို့ကြီးတွေကို လေယာဉ်နဲ့သွားပြီးမှ အဲ့ဒီကတစ်ဆင့် ဒေသတွင်းယာဉ်တွေနဲ့ သွားတာက ပိုစိတ်ချရပါတယ်။"
"ယာယီဈေးတွေမှာ ပစ္စည်းဝယ်ရင် ငွေကို ဘယ်လိုပေးချေရမလဲ။","ဒေသတွင်း အင်တာနက်နဲ့ ဘဏ်စနစ် အားနည်းနေနိုင်တာကြောင့် ဒေါ်လာ သို့မဟုတ် ကျပ်ငွေသားနဲ့ ပေးချေဖို့ အထူးလိုအပ်ပါတယ်။"
"မြန်မာပြည်သူတွေရဲ့ ဧည့်သည်အပေါ် ထားရှိတဲ့ စိတ်နေစိတ်ထားက ဘယ်လိုရှိသလဲ။","မြန်မာလူမျိုးတွေဟာ ဖော်ရွေတယ်၊ ကူညီတတ်တယ်၊ ယဉ်ကျေးပျူငှာတယ်ဆိုပြီး နာမည်ကျော်ပါတယ်။"
"မြန်မာပြည်ကို လာလည်တဲ့အခါ ဘယ်လိုစိတ်ထားမျိုး ထားရှိသင့်သလဲ။","ဒေသအနှံ့ လေ့လာလိုစိတ်နဲ့ ဒေသခံတွေရဲ့ ဘဝထဲမှာ ပါဝင်လိုစိတ်မျိုး ထားရှိသင့်ပါတယ်။"
"ခရီးစဉ်အတွင်းမှာ ဘာကြောင့် စိတ်ကို ပွင့်လင်းစွာ ထားသင့်သလဲ။","မတူကွဲပြားတဲ့ ယဉ်ကျေးမှုနဲ့ ဓလေ့ထုံးတမ်းတွေကို ပိုမိုနားလည်နိုင်ဖို့နဲ့ ယဉ်ကျေးမှု ကွာဟချက်ကို လျှော့ချနိုင်ဖို့ ဖြစ်ပါတယ်။"
"ဒေသခံတွေနဲ့ တွေ့ဆုံတဲ့အခါ ဘယ်လို ဆက်ဆံသင့်သလဲ။","မတူကွဲပြားမှုကို လေးစားပြီး ရိုသေပျူငှာတဲ့ နည်းလမ်းနဲ့ ဆက်ဆံပြောဆိုသင့်ပါတယ်။"
"မြန်မာနိုင်ငံရဲ့ ဓလေ့တွေကို မသိတဲ့အခါ ဘယ်လို လိုက်နာရမလဲ။","""ရောက်ရာအရပ်က ဓလေ့ကို လိုက်နာပါ"" ဆိုတဲ့အတိုင်း ဒေသခံတွေ လုပ်ဆောင်သလို လိုက်နာတာက အကောင်းဆုံးပါ။"
"လူအများရှေ့မှာ ချစ်ခြင်း သို့မဟုတ် ဒေါသဖြစ်ခြင်းကို အလွန်အမင်း ပြသလို့ ရပါသလား။","မရပါဘူး၊ စိတ်လှုပ်ရှားမှုကို လူရှေ့သူရှေ့မှာ အလွန်အကျွံ ပြသတာကို မြန်မာလူမျိုးတွေက သဘောမကျကြပါဘူး။"
"မြန်မာအိမ်ထဲကို ဝင်တဲ့အခါ အထူးသတိထားရမယ့် ဓလေ့က ဘာလဲ။","အိမ်ထဲမဝင်ခင် ဖိနပ်ချွတ်တာက အိမ်ရှင်ကို လေးစားမှုပြတဲ့ မြန်မာ့ရိုးရာ ဓလေ့တစ်ခု ဖြစ်ပါတယ်။"
"မြန်မာလူမျိုးတွေက ပွဲလမ်းသဘင်တွေကို ဘယ်လို သဘောထားကြသလဲ။","မြန်မာပြည်သူတွေဟာ ပွဲလမ်းသဘင်တွေနဲ့ အခမ်းအနားတွေကို အလွန်အမင်း နှစ်သက်မြတ်နိုးကြပါတယ်။"
"ခရီးသွားတွေအနေနဲ့ ဘယ်လိုပွဲတော်မျိုးတွေမှာ ပါဝင်ဆင်နွှဲသင့်သလဲ။","သင်္ကြန်ပွဲတော်၊ သီတင်းကျွတ်မီးထွန်းပွဲတော် ဒါမှမဟုတ် ကရင်နှစ်သစ်ကူးပွဲတော်တွေမှာ ပါဝင်သင့်ပါတယ်။"
